Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
amara-linen-wrap-dress,Amara Linen Wrap Dress,"Crafted from 100% organic European linen, this midi wrap dress features a relaxed silhouette, breathable weave, and natural coconut shell buttons. Ideal for warm afternoons and resort living.",Boho Vana,Dresses,"Linen,Resort,New Arrivals,Best Sellers",TRUE,Title,Default Title,,,shopify,100,deny,manual,,,TRUE,TRUE,,,,active
sundance-resort-shirt,Sundance Resort Shirt,An effortless boxy-fit shirt with a classic camp collar. Loomed from a breathable linen-cotton blend that gets softer with every wash.,Boho Vana,Shirts,"Linen,Resort,Best Sellers",TRUE,Title,Default Title,,,shopify,100,deny,manual,,,TRUE,TRUE,,,,active
earthy-wide-leg-trousers,Earthy Wide-Leg Trousers,"Tailored with a comfortable elasticated drawstring waist and deep side pockets, these flowing wide-leg pants capture Scandinavian minimalism in natural linen.",Boho Vana,Trousers,"Linen,Essentials,Best Sellers",TRUE,Title,Default Title,,,shopify,100,deny,manual,,,TRUE,TRUE,,,,active
vana-oversized-linen-blazer,Vana Oversized Linen Blazer,A structured yet relaxed blazer featuring drop shoulders and double-breasted closure. Bring timeless editorial elegance to your boutique lifestyle.,Boho Vana,Outerwear,"Linen,Resort,New Arrivals",TRUE,Title,Default Title,,,shopify,100,deny,manual,,,TRUE,TRUE,,,,active
organic-cotton-knit-vest,Organic Cotton Knit Vest,"Hand-knitted from certified organic cotton, featuring a subtle textured rib stitch and breathable open weave. Perfect for slow living layering.",Boho Vana,Knitwear,"Cotton,Essentials,New Arrivals,Sale",TRUE,Title,Default Title,,,shopify,100,deny,manual,,,TRUE,TRUE,,,,active
breeze-linen-wrap-skirt,Breeze Linen Wrap Skirt,An organic-minimalist skirt featuring an adjustable tie waist and asymmetrical drape. Ethically made for quiet luxury resort escapes.,Boho Vana,Skirts,"Linen,Resort,Sale",TRUE,Title,Default Title,,,shopify,100,deny,manual,,,TRUE,TRUE,,,,active
men-linen-shirt-pant-set,Relaxed Linen Shirt & Pant Set,A tailored yet highly breathable linen set for men. Features a camp collar shirt and pleated high-waisted trousers in a warm natural tone. Perfect for sustainable resort living.,Boho Vana,Sets,"Linen,Resort,Men",TRUE,Title,Default Title,,,shopify,100,deny,manual,,,TRUE,TRUE,,,,active
checkered-skirt-top-set,Checkered Crop Top & Flared Skirt,A chic two-piece set featuring a tailored checkered crop top and a beautifully pleated flared skirt. Brings a classic elegant silhouette to modern sustainable fashion.,Boho Vana,Sets,"Cotton,Apparel,Women,New Arrivals",TRUE,Title,Default Title,,,shopify,100,deny,manual,,,TRUE,TRUE,,,,active
halter-top-wide-pant-set,Minimalist Halter & Wide-Leg Pant,Crisp white linen elegantly tailored into a crossover halter crop top and flowing wide-leg trousers. An essential for warm summer nights.,Boho Vana,Sets,"Linen,Resort,Women",TRUE,Title,Default Title,,,shopify,100,deny,manual,,,TRUE,TRUE,,,,active
striped-shirt-trouser-set,Striped Linen Shirt & Trouser Set,"Effortless layering starts here. A relaxed striped linen button-down paired with matching relaxed trousers. Breathable, light, and perfectly unpolished.",Boho Vana,Sets,"Linen,Essentials,Women",TRUE,Title,Default Title,,,shopify,100,deny,manual,,,TRUE,TRUE,,,,active
olive-flowing-midi-dress,Olive Flowing Midi Dress,"A deep olive green flowing midi dress featuring short sleeves, a subtle collar, and a belted waist. It offers a refined yet deeply grounded aesthetic.",Boho Vana,Dresses,"Linen,Essentials,Women,Best Sellers",TRUE,Title,Default Title,,,shopify,100,deny,manual,,,TRUE,TRUE,,,,active
